691247.940305	2604965.52633	1	0
691250.291978	2604968.76201	1	0
691250.291978	2604968.76201	1	0
691344.35499	2605098.1839	1	0
691344.35499	2605098.1839	1	0
691344.707741	2605098.66926	1	0
691344.707741	2605098.66926	1	0
691344.76622	2605098.75094	1	0
691344.823526	2605098.83345	1	0
691344.879648	2605098.91677	1	0
691344.934574	2605099.00088	1	0
691344.988292	2605099.08577	1	0
691345.040793	2605099.17142	1	0
691345.092064	2605099.25781	1	0
691345.142097	2605099.34492	1	0
691345.190879	2605099.43274	1	0
691345.238403	2605099.52124	1	0
691345.284657	2605099.61042	1	0
691345.329632	2605099.70025	1	0
691345.37332	2605099.79071	1	0
691345.415711	2605099.88178	1	0
691345.456796	2605099.97346	1	0
691345.496568	2605100.06571	1	0
691345.535018	2605100.15851	1	0
691345.572138	2605100.25186	1	0
691345.607921	2605100.34573	1	0
691345.642359	2605100.4401	1	0
691345.675445	2605100.53495	1	0
691345.707174	2605100.63027	1	0
691345.737537	2605100.72603	1	0
691345.766529	2605100.82221	1	0
691345.794145	2605100.9188	1	0
691345.820377	2605101.01577	1	0
691345.845222	2605101.11311	1	0
691345.868674	2605101.21079	1	0
691345.890728	2605101.3088	1	0
691345.911379	2605101.40711	1	0
691345.930625	2605101.50571	1	0
691345.948459	2605101.60457	1	0
691345.96488	2605101.70368	1	0
691345.979883	2605101.80301	1	0
691345.993465	2605101.90255	1	0
691346.005624	2605102.00227	1	0
691346.016358	2605102.10215	1	0
691346.025664	2605102.20217	1	0
691346.033539	2605102.30232	1	0
691346.039983	2605102.40257	1	0
691346.044995	2605102.50291	1	0
691346.048572	2605102.6033	1	0
691346.050716	2605102.70374	1	0
691346.051424	2605102.80419	1	0
691346.050697	2605102.90465	1	0
691346.048535	2605103.00508	1	0
691346.044938	2605103.10548	1	0
691346.039908	2605103.20581	1	0
691346.033445	2605103.30606	1	0
691346.02555	2605103.4062	1	0
691346.016226	2605103.50623	1	0
691346.005474	2605103.60611	1	0
691345.993296	2605103.70583	1	0
691345.979695	2605103.80536	1	0
691345.964673	2605103.90469	1	0
691345.948234	2605104.00379	1	0
691345.930381	2605104.10265	1	0
691345.911117	2605104.20124	1	0
691345.890447	2605104.29955	1	0
691345.868375	2605104.39756	1	0
691345.844905	2605104.49523	1	0
691345.820042	2605104.59257	1	0
691345.793791	2605104.68953	1	0
691345.766157	2605104.78612	1	0
691345.737147	2605104.88229	1	0
691345.706766	2605104.97805	1	0
691345.675019	2605105.07336	1	0
691345.641915	2605105.1682	1	0
691345.607459	2605105.26257	1	0
691345.571659	2605105.35643	1	0
691345.534521	2605105.44977	1	0
691345.496054	2605105.54257	1	0
691345.456265	2605105.63482	1	0
691345.415162	2605105.72648	1	0
691345.372754	2605105.81755	1	0
691345.329049	2605105.908	1	0
691345.284057	2605105.99782	1	0
691345.237786	2605106.08699	1	0
691345.153994	2605106.241	1	0
691345.153994	2605106.241	1	0
691345.203499	2605106.15411	1	0
691345.25424	2605106.06794	1	0
691345.306206	2605105.9825	1	0
